,Key Communities,Latitude,Longitude
0,Bangor,39.3886118,-121.4053135
1,Chico,39.7284944,-121.8374777
2,Oroville,39.5137752,-121.556359
3,Lake Berryessa,38.6097407,-122.254045
4,Magalia,39.8121058,-121.5783059
5,Butte Meadows,40.0812707,-121.5510858
6,Paradise,39.7596061,-121.6219177
7,Vacaville,38.3565773,-121.9877444
8,Berry Creek,39.6451637,-121.4032995
9,Yankee Hill,39.7111574,-121.5202285
10,Butte Valley,39.6445906,-121.5543062
11,Brownsville,39.4732217,-121.2691283
12,Alleghany,39.4692306,-120.8429926
13,Mill Valley,37.9060368,-122.5449763
14,Anderson,40.448208,-122.2977815
15,Annapolis,38.7196855,-123.3677589
16,Camino,38.738046,-120.6743853
17,Arbuckle,39.01739630000001,-122.0577477
18,Arcata,40.8665166,-124.0828396
19,Arvin,35.2017986,-118.833105
20,Auburn,38.8965654,-121.0768901
21,Napa,38.2975381,-122.286865
22,Chowchilla,37.1229997,-120.2601754
23,Penngrove,38.29975,-122.6664251
24,Ben Lomond,37.0891143,-122.0863528
25,Boulder Creek,37.12605780000001,-122.1221869
26,Orick,41.2863689,-124.0597992
27,Felton,37.0513374,-122.0732973
28,Bolinas,37.9093702,-122.6863733
29,Alta,39.206736,-120.8114612
30,Bridgeville,40.4694936,-123.7995008
31,Blocksburg,40.2759769,-123.6364206
32,Browns Valley,39.2421139,-121.4091297
33,Grass Valley,39.2190608,-121.0610606
34,Cedar Ridge,39.1987834,-121.0210585
35,Concord,37.9779776,-122.0310733
36,Belden,40.00599709999999,-121.2491316
37,Biggs,39.4123876,-121.7127513
38,Bakersfield,35.3732921,-119.0187125
39,Angels Camp,38.0677832,-120.5385299
40,Calistoga,38.5787965,-122.5797054
41,Calpella,39.233574,-123.202542
42,Aptos,36.97717290000001,-121.8994016
43,Big Sur,36.2704233,-121.8080556
44,Carlotta,40.537357,-124.0606039
45,Castro Valley,37.6955029,-122.0738678
46,Bella Vista,40.6315045,-122.2686718
47,Challenge,39.4856136,-121.2311579
48,El Dorado Hills,38.6857367,-121.082167
49,Finley,39.0043407,-122.8755498
50,Cloverdale,38.8054624,-123.0172227
51,Brooks,38.7395726,-122.1484141
52,Corning,39.9276572,-122.1791556
53,Petaluma,38.232417,-122.6366524
54,Cottonwood,40.3857087,-122.2808355
55,Sonora,37.9829496,-120.3821724
56,Columbia,38.0363119,-120.4013061
57,Big Oak Flat,37.8617633,-120.1935663
58,Groveland,37.8388779,-120.2308167
59,Millville,40.5767907,-122.1193384
60,El Dorado,38.74263759999999,-120.4357631
61,Diamond Springs,38.6946259,-120.8149355
62,Placerville,38.7296252,-120.798546
63,Glen Ellen,38.3640795,-122.5241487
64,Boyes Hot Springs,38.3138029,-122.4819253
65,Oakland,37.8043514,-122.2711639
66,Eureka,40.8020712,-124.1636729
67,Ferndale,40.5762406,-124.2639441
68,Albany,37.886704,-122.2977557
69,Jackson,38.3488023,-120.7741018
70,Fiddletown,38.5039105,-120.7565689
71,Durham,39.6462733,-121.7999767
72,Geyserville,38.7074755,-122.9027647
73,Alderpoint,40.1763525,-123.6122022
74,Fremont,37.5485396,-121.988583
75,French Gulch,40.7007031,-122.6383511
76,Altaville,38.0843035,-120.5616644
77,Myers Flat,40.2664122,-123.8700843
78,Healdsburg,38.6104658,-122.8691609
79,Fulton,38.4956463,-122.7704616
80,Garberville,40.1000828,-123.7949199
81,Redding,40.5865396,-122.3916754
82,Orland,39.7473803,-122.1963748
83,Gilroy,37.0029828,-121.5566373
84,El Granada,37.5027185,-122.4694214
85,Davenport,37.01352079999999,-122.1966597
86,Applegate,39.0007303,-120.9924431
87,Lakeport,39.0429506,-122.9158293
88,Cobb,38.8334625,-122.720961
89,San Jose,37.3382082,-121.8863286
90,Clearlake Oaks,39.0262841,-122.6719304
91,Clearlake,38.9582307,-122.6263728
92,Hoopa,41.0491723,-123.6770485
93,Hopland,38.9729541,-123.1163918
94,Granite Bay,38.7632345,-121.1638361
95,Fairfield,38.2491956,-122.0405151
96,American Canyon,38.1749178,-122.2608044
97,Kelseyville,38.9779531,-122.8394375
98,Lafayette,37.8857582,-122.1180201
99,Orinda,37.8771476,-122.1796888
100,Livermore,37.6818688,-121.7684732
101,Lincoln,38.891565,-121.2930079
102,Artois,39.6196036,-122.1938726
103,Los Gatos,37.2358078,-121.9623751
104,Los Molinos,40.0212683,-122.1002666
105,Capay,38.70823490000001,-122.0507301
106,Amador City,38.4193553,-120.824103
107,Maxwell,39.2762238,-122.1917266
108,Mount Hamilton,37.3418834,-121.6430017
109,Coyote,37.1911821,-121.7081454
110,La Honda,37.3190255,-122.274227
111,Cupertino,37.3229978,-122.0321823
112,Coulterville,37.7107484,-120.1972129
113,Hidden Valley,34.1459,-118.92794
114,Milpitas,37.4323341,-121.8995741
115,Santa Rosa,38.440429,-122.7140548
116,Berkeley,37.8715226,-122.273042
117,Moraga,37.8349263,-122.1296871
118,Canyon,37.8306731,-122.1658805
